Job title,Company,Deadline,Location
Ոսկերիչ գնահատողի օգնական՝ «Կապան» մասնաճյուղում,FastBank CJSC,14 April 2024,Kapan
Ոսկերիչ գնահատողի օգնական՝ «Գորիս» մասնաճյուղում,FastBank CJSC,14 April 2024,Goris
Պահեստապետի օգնական,Bacon Product LLC,03 May 2024,Arzni
Մանրածախ խնդրահարույց ակտիվների վերադարձման բաժնի մասնագետ,IDBank CJSC,19 April 2024,Yerevan
Territory Sales Channel Manager with Engineering Background,NI,03 May 2024,Yerevan
Digital Media Buying Specialist,SoftConstruct,03 May 2024,Yerevan
Traditional Marketing Specialist,SoftConstruct,03 May 2024,Yerevan
Full stack developer,MACH TECH,02 May 2024,Yerevan
Business Process Auditor,SoftConstruct,21 April 2024,Yerevan
Logistics supervisor,Globbing,02 May 2024,Yerevan
Lead generation specialist,OurExchangeClub,02 May 2024,Yerevan
Lead UI/UX Designer,SootRock Technologies LLC,30 April 2024,Yerevan
Sales specialist,Shtigen Group,02 May 2024,Yerevan
Strong Mid/Senior Data Engineer,Telcell,02 May 2024,Yerevan
Strong Mid/Senior Automation QA Engineer,Telcell,02 May 2024,Yerevan
Accounting and Tax Manager,Grant Thornton Armenia,02 May 2024,Yerevan
Head of Internal Audit Department,SoftConstruct,30 April 2024,Yerevan
Mid+ Automation/Manual QA Engineer,Ameriabank CJSC,18 April 2024,Yerevan
Audit Department Assistant,Grant Thornton Armenia,02 May 2024,Yerevan
"Հաճախորդների սպասարկման մասնագետ, Էրեբունի մ/ճ",IDBank CJSC,22 April 2024,Yerevan
Case Processing Assistant (English Speaking),RightWay Canada Immigration Services,02 May 2024,Yerevan                                            (Remote)
Network and Operation System Administrator,QGroup,01 May 2024,Yerevan
Auditor,Grant Thornton Armenia,02 May 2024,Yerevan
IT Business Analyst,Acba Bank OJSC,30 April 2024,Yerevan
Business consultant,Grant Thornton Armenia,02 May 2024,Yerevan
Տեխնիկական աջակցման մասնագետ,Ucom,02 May 2024,Yerevan
Կոնտակտային կենտրոնի հեռավար   վաճառքների բաժնի ղեկավար,IDBank CJSC,22 April 2024,Yerevan
IT Specialist/Technician,Globbing,02 May 2024,Yerevan
Transport Officer,Viva-MTS (MTS Armenia CJSC),10 April 2024,Yerevan
Call Center Agent,Globbing,02 May 2024,Yerevan
Բիզնես պրոցեսների ավտոմատացման մասնագետ,Armenian Software LLC,02 May 2024,Yerevan
Unity Developer,SoftConstruct,02 May 2024,Yerevan
"Պաշտոն <<ՀԱՅԷԿՈՆՈՄԲԱՆԿ>> ԲԲԸ մասնաճյուղերում ստաժոր //փորձնակ/ հաշվապահ-գանձապահ, վարկային մասնագետ/",ARMECONOMBANK OJSC,02 May 2024,Yerevan
Game Presenter,Media Live,02 May 2024,Yerevan
Strong Mid/Senior .Net Developer,Telcell,02 May 2024,Yerevan
ՊԱՀԵՍՏԱՊԵՏ,Երեմյան Փրոջեքթս,02 May 2024,Yerevan
Data Analyst,Inecobank CJSC,02 May 2024,Yerevan
Արտադրատեխնիկական բաժնի մասնագետ,New City Projects,02 May 2024,Yerevan
.Net/C# Developer,SoftConstruct,02 May 2024,Yerevan
3D Designer,Media Live,02 May 2024,Abovyan
Senior Java Developer,Telcell,02 May 2024,Yerevan
Hr agent,Media Live,02 May 2024,Yerevan                                            (Remote)
Budget planning and financial control specialist,VTB Bank (Armenia),01 May 2024,Yerevan
Marketing Specialist,"""ALEX RETAIL COMPANY"" LLC",30 April 2024,Yerevan
Accountant,Cenomi Retail Armenia,02 May 2024,Yerevan
System Administrator (Mid-level),Acba Bank OJSC,02 May 2024,Yerevan
Learning Coach in Areni (part time),TUMO Center for Creative Technologies,30 April 2024,Yeghegnadzor
Data annotator (Junior Data Analyst),BostonGene Technologies,30 April 2024,Yerevan
Project Manager,OMD Armenia LLC,02 May 2024,Yerevan
Yeghegnadzor TUMO Center Manager,TUMO Center for Creative Technologies,30 April 2024,Yeghegnadzor
Senior Auditor,Baker Tilly Armenia CJSC,02 May 2024,Yerevan
Logist,Միրա Տրանս ՍՊԸ,02 May 2024,Yerevan
Offre d'emploi Spécialiste du support de la clientèle international (avec la connaissance du français),“Digital Line” Limited Liability Company,02 May 2024,Yerevan
International Customer Support Specialist (with the knowledge of the Arabic language),“Digital Line” Limited Liability Company,02 May 2024,Yerevan
